packet_size,duration,protocol,label
128,0.0,6,Anomaly
66,0.0005438327789306641,6,Anomaly
78,0.9759480953216553,6,Anomaly
117,0.6587369441986084,6,Anomaly
66,0.0007851123809814453,6,Anomaly
78,0.34118103981018066,6,Anomaly
78,1.0000648498535156,6,Anomaly
78,1.0016131401062012,6,Anomaly
203,0.3198521137237549,6,Anomaly
66,0.0003159046173095703,6,Anomaly
78,0.6819078922271729,6,Anomaly
78,1.000143051147461,6,Anomaly
100,0.366163969039917,17,Anomaly
453,0.11316299438476562,17,Anomaly
90,0.3458080291748047,6,Anomaly
66,0.0004749298095703125,6,Anomaly
66,0.03831887245178223,6,Anomaly
66,0.0012202262878417969,6,Anomaly
78,1.1364738941192627,6,Anomaly
120,0.43660616874694824,6,Anomaly
105,0.05451703071594238,6,Anomaly
66,0.0003077983856201172,6,Anomaly
208,0.1402571201324463,6,Anomaly
66,0.0002307891845703125,6,Anomaly
